                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.7417,                 1.7029,                 1.1558,                0.68088,                0.59489,                0.61526,                0.21378,                 2.1351,                 1.4916,                  1.217,              0.0018416,              0.0018416,              0.0018416
                     35,                 1.7731,                 1.7464,                 1.1523,                0.66239,                0.64599,                0.62667,                0.19137,                 2.3159,                 1.6336,                 1.2799,              0.0018367,              0.0018367,              0.0018367
                     36,                  1.771,                 1.6333,                 1.1271,                0.61829,                0.69363,                0.63246,                0.23271,                 2.1868,                 2.0072,                 1.2661,              0.0018317,              0.0018317,              0.0018317
                     37,                  1.729,                 1.7469,                  1.162,                0.64528,                0.62287,                0.62439,                0.20314,                 2.1819,                 1.6322,                 1.2135,              0.0018267,              0.0018267,              0.0018267
                     38,                 1.7292,                 1.7049,                 1.1608,                0.70597,                0.62165,                0.65251,                0.23035,                 2.0527,                  1.527,                 1.1863,              0.0018218,              0.0018218,              0.0018218
                     39,                 1.7208,                 1.6199,                 1.1326,                0.67686,                0.61436,                0.62826,                0.20399,                 2.2622,                 1.5498,                 1.2328,              0.0018168,              0.0018168,              0.0018168
                     40,                 1.6624,                 1.5513,                 1.1471,                 0.6673,                0.55353,                 0.5434,                0.14717,                 2.3472,                  1.714,                 1.2514,              0.0018119,              0.0018119,              0.0018119
                     41,                 1.7434,                  1.634,                 1.1302,                0.72995,                0.65437,                0.67539,                 0.2092,                  2.222,                 1.5179,                 1.2429,              0.0018069,              0.0018069,              0.0018069
                     42,                  1.692,                 1.5998,                 1.1327,                 0.6517,                0.59865,                0.58885,                0.16861,                 2.5671,                 1.5691,                 1.3755,               0.001802,               0.001802,               0.001802
                     43,                 1.7186,                 1.6392,                 1.1481,                 0.6548,                0.61922,                0.58309,                0.16142,                 2.4314,                 1.7964,                 1.3056,              0.0017971,              0.0017971,              0.0017971
                     44,                 1.7203,                 1.6747,                 1.1534,                0.66369,                0.57178,                0.56521,                0.15357,                 2.4004,                  1.927,                 1.2939,              0.0017921,              0.0017921,              0.0017921
                     45,                 1.6888,                  1.609,                 1.1228,                0.67438,                0.64499,                0.66125,                0.22522,                 2.1232,                 1.4847,                  1.207,              0.0017872,              0.0017872,              0.0017872
                     46,                 1.7041,                  1.667,                  1.126,                 0.6325,                0.63442,                0.61159,                0.18837,                 2.3012,                 1.7086,                 1.2788,              0.0017822,              0.0017822,              0.0017822
                     47,                 1.6916,                 1.6328,                 1.1543,                0.64222,                0.65729,                0.63437,                0.21848,                 2.1538,                  1.512,                 1.2126,              0.0017772,              0.0017772,              0.0017772
                     48,                 1.7016,                 1.6114,                 1.1194,                0.66382,                 0.6545,                0.64843,                0.18535,                 2.4172,                 1.5937,                 1.3304,              0.0017723,              0.0017723,              0.0017723
                     49,                 1.6741,                  1.592,                 1.1469,                0.74597,                0.61557,                0.66261,                0.24839,                 2.0152,                 1.3727,                 1.1528,              0.0017674,              0.0017674,              0.0017674
                     50,                 1.6718,                 1.5778,                 1.1179,                0.67902,                0.57664,                0.60219,                0.17603,                  2.334,                 1.5374,                  1.229,              0.0017624,              0.0017624,              0.0017624
                     51,                 1.7225,                 1.5644,                 1.1152,                0.66224,                0.58029,                0.56099,                0.14416,                 2.5443,                 1.5101,                 1.3348,              0.0017575,              0.0017575,              0.0017575
                     52,                 1.6955,                 1.5702,                 1.1278,                0.73532,                0.59482,                 0.6619,                0.22434,                  2.241,                 1.4641,                 1.2519,              0.0017525,              0.0017525,              0.0017525
                     53,                 1.6741,                 1.5305,                  1.122,                0.74672,                 0.6707,                0.71322,                0.27887,                 2.0189,                 1.4581,                 1.1989,              0.0017476,              0.0017476,              0.0017476
                     54,                 1.7006,                 1.5872,                 1.1319,                0.66073,                0.65085,                 0.6305,                0.25788,                 1.9134,                  1.496,                 1.1535,              0.0017426,              0.0017426,              0.0017426
                     55,                  1.681,                  1.539,                 1.1122,                0.64255,                0.61557,                0.59974,                0.16066,                 2.4959,                 1.7447,                 1.3246,              0.0017376,              0.0017376,              0.0017376
                     56,                 1.6796,                 1.5643,                 1.1246,                0.72699,                0.65439,                0.69045,                0.26566,                 2.0322,                  1.403,                 1.1773,              0.0017327,              0.0017327,              0.0017327
                     57,                 1.6569,                 1.5278,                 1.1243,                0.67724,                 0.6253,                0.64459,                0.23037,                 2.0663,                 1.4957,                 1.1992,              0.0017278,              0.0017278,              0.0017278
                     58,                 1.6664,                 1.5623,                 1.1323,                0.66195,                0.62165,                0.63126,                0.19667,                 2.3293,                 1.5383,                 1.3024,              0.0017228,              0.0017228,              0.0017228
                     59,                 1.6688,                 1.5461,                 1.1376,                0.69434,                0.64666,                0.61718,                0.16792,                 2.3936,                 1.6216,                 1.2755,              0.0017179,              0.0017179,              0.0017179
                     60,                 1.6851,                 1.5841,                 1.1392,                0.73784,                0.65741,                0.69593,                0.26807,                  2.095,                 1.5461,                 1.2198,              0.0017129,              0.0017129,              0.0017129
                     61,                 1.6592,                 1.5459,                 1.1243,                0.66975,                0.65875,                0.64939,                0.19988,                 2.3086,                 1.5855,                 1.2414,               0.001708,               0.001708,               0.001708
                     62,                 1.6578,                 1.5255,                 1.1296,                0.73076,                 0.6983,                0.71113,                0.24772,                  2.222,                 1.4708,                 1.2515,               0.001703,               0.001703,               0.001703
                     63,                 1.6488,                 1.5288,                 1.1447,                0.72095,                0.62232,                0.62889,                0.18614,                  2.355,                  1.423,                 1.2547,               0.001698,               0.001698,               0.001698
                     64,                 1.6435,                 1.5116,                 1.0993,                0.70128,                0.64234,                0.66264,                0.21798,                 2.2634,                 1.4035,                 1.2502,              0.0016931,              0.0016931,              0.0016931
                     65,                 1.6515,                 1.5325,                 1.1119,                0.73916,                0.66302,                0.69792,                0.26698,                 2.0187,                 1.3726,                 1.1868,              0.0016882,              0.0016882,              0.0016882
                     66,                 1.6368,                 1.4918,                 1.1032,                0.73962,                0.66058,                0.70848,                0.27945,                 2.0578,                 1.3099,                  1.197,              0.0016832,              0.0016832,              0.0016832
