epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
38,2418.15,1.46574,0.7641,0.86953,0.85785,0.83719,0.90822,0.51865,1.41085,0.75329,0.85815,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674
39,2481.27,1.44383,0.71384,0.85722,0.83467,0.85199,0.89926,0.49451,1.48256,0.77647,0.86718,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
40,2544.72,1.45677,0.72564,0.87167,0.848,0.85289,0.91599,0.53174,1.40849,0.72431,0.8577,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278
41,2608.16,1.42388,0.72378,0.87352,0.85653,0.85705,0.90964,0.52087,1.4144,0.73281,0.85947,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
42,2671.34,1.44424,0.73147,0.85406,0.85114,0.86698,0.91414,0.53193,1.39127,0.71873,0.85855,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882
43,2734.72,1.42365,0.70673,0.87123,0.85174,0.83264,0.90319,0.50532,1.43734,0.74459,0.8561,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
44,2798.46,1.41966,0.70751,0.8507,0.85528,0.86036,0.90274,0.52226,1.42489,0.75088,0.85761,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486
45,2862.02,1.43391,0.68729,0.84469,0.86642,0.8671,0.91886,0.542,1.39769,0.72096,0.86099,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
46,2925.5,1.41871,0.70271,0.86919,0.86271,0.88683,0.92716,0.55707,1.36671,0.70056,0.85874,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109
47,2988.75,1.40184,0.70637,0.85624,0.86957,0.86367,0.926,0.53524,1.40374,0.70807,0.85676,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
48,3051.99,1.3895,0.67083,0.85199,0.87497,0.84381,0.91883,0.53883,1.3996,0.71749,0.85558,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694
49,3115.01,1.37453,0.68942,0.84852,0.85146,0.88389,0.92005,0.5391,1.38527,0.72585,0.85842,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
50,3178.39,1.37374,0.66635,0.85702,0.87731,0.85175,0.92368,0.54827,1.36094,0.69234,0.84993,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298
51,3241.72,1.34453,0.66649,0.84509,0.86748,0.88551,0.92864,0.55841,1.34914,0.6694,0.84684,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
52,3305.3,1.34643,0.66455,0.84335,0.87673,0.87083,0.92729,0.55566,1.33628,0.67425,0.84124,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902
53,3368.84,1.32533,0.64564,0.84032,0.86789,0.89132,0.92908,0.54253,1.35903,0.68839,0.84316,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
54,3432.39,1.3372,0.63916,0.83849,0.87703,0.87624,0.93084,0.5444,1.36156,0.67287,0.85053,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506
55,3495.78,1.35552,0.65855,0.84307,0.89078,0.87624,0.93348,0.5582,1.31741,0.66269,0.84106,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
56,3559.42,1.3207,0.65584,0.84467,0.87522,0.89279,0.93552,0.55625,1.37764,0.68145,0.85103,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911
57,3622.76,1.33736,0.64313,0.84105,0.87985,0.8994,0.93715,0.57204,1.3102,0.64833,0.83849,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
58,3686.38,1.31082,0.63117,0.83772,0.87981,0.89014,0.93294,0.54993,1.36387,0.67272,0.84726,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714
59,3749.79,1.30238,0.61578,0.84553,0.87393,0.88882,0.93835,0.57293,1.28178,0.64351,0.8364,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
60,3813.47,1.30761,0.61472,0.83606,0.87244,0.89171,0.93706,0.57492,1.30135,0.65112,0.83576,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318
61,3876.88,1.28476,0.62068,0.83937,0.89658,0.87213,0.93161,0.5768,1.27955,0.64677,0.83241,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
62,3940.46,1.23605,0.58943,0.8254,0.89572,0.88111,0.93759,0.57957,1.2726,0.64273,0.83413,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922
63,4004,1.27282,0.59592,0.82603,0.89162,0.88021,0.93671,0.57634,1.28719,0.64256,0.8392,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
64,4067.58,1.25414,0.59485,0.82944,0.89822,0.88192,0.93558,0.57711,1.2755,0.64426,0.83541,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526
65,4131.06,1.28657,0.60264,0.83691,0.89717,0.88749,0.9372,0.57957,1.27235,0.64306,0.83458,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
66,4194.75,1.29304,0.59636,0.81447,0.88492,0.89874,0.93993,0.58312,1.26837,0.62327,0.83238,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713
67,4258.56,1.27543,0.58907,0.82374,0.89632,0.88113,0.93791,0.57218,1.30137,0.64855,0.83703,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
68,4322.23,1.29382,0.61308,0.81971,0.8878,0.89146,0.93906,0.58396,1.25218,0.63239,0.82908,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734
69,4385.39,1.23225,0.58559,0.83214,0.90175,0.89898,0.9461,0.59195,1.24279,0.61822,0.82964,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
70,4448.92,1.22381,0.56461,0.81077,0.89435,0.90007,0.94419,0.59425,1.24127,0.61296,0.82957,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338
71,4512.49,1.22941,0.57203,0.81494,0.91327,0.89146,0.9431,0.58284,1.2469,0.61967,0.82686,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
72,4576.1,1.2164,0.55362,0.81936,0.89708,0.89676,0.94265,0.57716,1.2624,0.62076,0.82841,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942
73,4639.26,1.2044,0.5516,0.82131,0.89961,0.89279,0.9456,0.59575,1.22453,0.59749,0.82465,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
74,4702.52,1.18897,0.55643,0.81323,0.88908,0.89118,0.94068,0.59112,1.22895,0.6283,0.82547,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546
75,4765.7,1.18403,0.55348,0.81729,0.89781,0.90933,0.94356,0.60071,1.19865,0.60268,0.82745,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
76,4829.41,1.18005,0.54666,0.8187,0.91191,0.90205,0.94546,0.59694,1.2335,0.61113,0.82746,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515
77,4892.57,1.14077,0.52884,0.81591,0.88892,0.9133,0.93849,0.58882,1.21319,0.60965,0.82338,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
78,4956.17,1.11545,0.52095,0.80843,0.89911,0.91422,0.94599,0.60556,1.19938,0.59572,0.8228,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754
79,5019.71,1.16712,0.53632,0.8083,0.90451,0.90277,0.94233,0.59413,1.20718,0.60522,0.82291,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556
80,5083.44,1.13122,0.51083,0.81137,0.91061,0.90338,0.94296,0.6098,1.18691,0.59566,0.82132,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358
81,5147.85,1.12905,0.51039,0.80982,0.90346,0.89146,0.93591,0.59872,1.19796,0.616,0.82239,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
82,5213.2,1.11772,0.51564,0.81229,0.90294,0.90507,0.93995,0.60674,1.18486,0.61019,0.82042,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962
83,5277.88,1.11043,0.50756,0.81464,0.91303,0.89411,0.9451,0.60493,1.20305,0.609,0.82245,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764
84,5341.63,1.06035,0.49553,0.81556,0.90628,0.91595,0.95176,0.6227,1.18456,0.57627,0.81992,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566
85,5405.27,1.10449,0.49576,0.80891,0.91587,0.90774,0.94939,0.61781,1.17244,0.58822,0.81692,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
86,5468.62,1.10863,0.50337,0.79857,0.92835,0.90404,0.95023,0.62162,1.16365,0.57766,0.81922,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317
87,5532.2,1.10152,0.5031,0.8102,0.91573,0.90867,0.94649,0.61714,1.1586,0.58571,0.81833,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972
88,5595.76,1.09692,0.49591,0.80039,0.92683,0.90542,0.94716,0.61632,1.15875,0.57701,0.81683,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774
89,5659.21,1.10923,0.49921,0.79982,0.92669,0.8951,0.94488,0.62315,1.13377,0.57941,0.8182,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
90,5722.73,1.08557,0.49795,0.8065,0.92149,0.90139,0.94799,0.62421,1.14801,0.57613,0.81826,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378
91,5784.79,1.07548,0.49642,0.8054,0.90457,0.91529,0.94588,0.61705,1.14938,0.58688,0.81961,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
92,5847.31,1.04271,0.47393,0.80378,0.90209,0.92072,0.94637,0.62286,1.13735,0.57711,0.81751,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982
93,5909.62,1.02773,0.47055,0.80953,0.92119,0.89808,0.94822,0.6203,1.15127,0.56967,0.81859,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
94,5973.45,1.01809,0.4683,0.80324,0.93143,0.8961,0.95244,0.62146,1.13824,0.55938,0.81672,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586
95,6036.89,0.98904,0.45033,0.80152,0.91857,0.91082,0.95215,0.62889,1.13074,0.55913,0.81724,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388
96,6100.59,1.01854,0.45804,0.8012,0.91964,0.91644,0.95338,0.62859,1.12198,0.55712,0.81519,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119
97,6163.92,0.99994,0.4526,0.81048,0.91937,0.91308,0.95294,0.63006,1.1263,0.55574,0.81526,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
98,6226.28,1.02218,0.46139,0.79547,0.92124,0.91066,0.95107,0.62643,1.13909,0.56218,0.81656,0.0002382,7.94e-05,0.0002382,7.94e-05,0.0002382,7.94e-05,0.0002382,7.94e-05
99,6287.51,1.035,0.46354,0.79922,0.92267,0.90933,0.95306,0.63168,1.12578,0.5585,0.81572,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05
100,6349.33,0.98171,0.44099,0.79218,0.91978,0.91054,0.95285,0.62929,1.13735,0.55876,0.81603,0.0001194,3.98e-05,0.0001194,3.98e-05,0.0001194,3.98e-05,0.0001194,3.98e-05
