epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,78.4037,2.3276,4.77256,1.15814,0.6171,0.52813,0.54189,0.23595,2.03577,2.16413,1.00527,0.00198701,0.000662338,0.00198701,0.000662338,0.00198701,0.000662338,0.00198701,0.000662338
2,144.478,1.8858,1.63538,0.97197,0.67048,0.63695,0.67635,0.30559,1.81986,1.2231,0.93774,0.00394754,0.00131585,0.00394754,0.00131585,0.00394754,0.00131585,0.00394754,0.00131585
3,207.154,1.82396,1.2796,0.95029,0.72122,0.69857,0.75691,0.35651,1.75338,1.06734,0.92198,0.00586847,0.00195616,0.00586847,0.00195616,0.00586847,0.00195616,0.00586847,0.00195616
4,270.442,1.80999,1.13971,0.94706,0.73941,0.72484,0.78295,0.36852,1.79321,1.05521,0.93321,0.0058218,0.0019406,0.0058218,0.0019406,0.0058218,0.0019406,0.0058218,0.0019406
5,332.489,1.80209,1.13417,0.96596,0.75983,0.71817,0.79138,0.38204,1.76008,1.04175,0.92673,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208
6,394.128,1.78943,1.07834,0.92066,0.78379,0.69623,0.78356,0.38496,1.70264,1.05441,0.91983,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901
7,455.884,1.79168,1.1141,0.95042,0.79168,0.7002,0.80614,0.41387,1.65109,0.97118,0.9241,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
8,517.886,1.75762,1.04218,0.93994,0.80029,0.73461,0.82714,0.43883,1.62571,0.93435,0.91347,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614
9,580.993,1.7387,1.00224,0.92565,0.75268,0.77697,0.81484,0.3862,1.6891,1.04703,0.91207,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
10,644.074,1.70592,0.96456,0.92158,0.79909,0.77125,0.8371,0.44597,1.60067,0.901,0.89708,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218
11,707.294,1.72434,0.98656,0.92303,0.77342,0.79293,0.83769,0.44499,1.58732,0.92791,0.90939,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
12,770.905,1.67437,0.93648,0.91167,0.80031,0.8094,0.85375,0.46441,1.56043,0.87257,0.89513,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822
13,834.229,1.69695,0.9706,0.91895,0.79387,0.77035,0.82914,0.44324,1.59131,0.9093,0.90348,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
14,897.317,1.6991,1.02158,0.93685,0.79713,0.77495,0.83105,0.43621,1.62535,0.91058,0.90311,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426
15,960.749,1.71704,0.96682,0.9044,0.81297,0.78249,0.84767,0.44748,1.56085,0.90217,0.90294,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
16,1024.22,1.65603,0.94444,0.91838,0.79576,0.79682,0.85083,0.4401,1.60479,0.88228,0.90673,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703
17,1087.36,1.66433,0.94834,0.90978,0.78681,0.78425,0.83934,0.43161,1.63139,0.91242,0.90953,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
18,1150.74,1.61552,0.88283,0.8884,0.82781,0.81133,0.8725,0.47704,1.56136,0.85899,0.89086,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634
19,1214.11,1.66301,0.91719,0.91706,0.77944,0.78583,0.83413,0.42553,1.63959,0.91186,0.91026,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
20,1277.34,1.6269,0.88054,0.89732,0.80774,0.82302,0.87294,0.46843,1.55449,0.83039,0.88897,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238
21,1340.75,1.60539,0.84875,0.88977,0.82029,0.81469,0.87062,0.47077,1.53948,0.83053,0.88909,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
22,1403.86,1.61037,0.89542,0.90687,0.82016,0.81337,0.87557,0.49897,1.47104,0.81973,0.8783,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842
23,1467.17,1.59345,0.83147,0.88318,0.80423,0.83737,0.87318,0.48085,1.51338,0.85036,0.88512,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
24,1530.91,1.61591,0.87875,0.89455,0.82395,0.79285,0.87575,0.46713,1.55093,0.87657,0.8831,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446
25,1594.2,1.5706,0.83438,0.90599,0.84333,0.81581,0.88997,0.49917,1.48695,0.79039,0.8747,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
26,1657.63,1.50778,0.81959,0.90318,0.82142,0.86151,0.89997,0.50325,1.48462,0.77178,0.88357,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505
27,1721.11,1.57727,0.86618,0.89109,0.80668,0.84447,0.8882,0.49538,1.50517,0.79158,0.88303,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
28,1784.55,1.56023,0.857,0.89734,0.84985,0.81271,0.8951,0.50291,1.49396,0.79017,0.86974,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654
29,1847.83,1.50272,0.8089,0.88277,0.80946,0.84908,0.88805,0.48561,1.52647,0.82845,0.88568,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
30,1911.14,1.53084,0.82215,0.89008,0.8442,0.82528,0.88515,0.48664,1.49163,0.7856,0.87308,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258
31,1974.47,1.51304,0.81985,0.88482,0.82145,0.84315,0.89357,0.49632,1.4778,0.77971,0.87682,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
32,2038.06,1.52626,0.78023,0.87849,0.83637,0.83553,0.88766,0.51112,1.43585,0.7873,0.86687,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862
33,2101.21,1.49812,0.79436,0.8775,0.84805,0.82,0.89778,0.50961,1.44483,0.76676,0.86544,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
34,2164.73,1.48417,0.75797,0.87499,0.84211,0.84008,0.89309,0.50627,1.45639,0.78583,0.87282,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466
35,2228.08,1.52139,0.78674,0.86644,0.837,0.77829,0.87444,0.46762,1.48668,0.81864,0.87145,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
36,2291.57,1.47051,0.74953,0.87285,0.85516,0.84646,0.90295,0.52116,1.42224,0.74975,0.86216,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307
37,2354.75,1.46506,0.75065,0.8712,0.85201,0.83322,0.89814,0.50501,1.47188,0.75649,0.87124,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
