epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,1795.29,1.44956,0.76601,0.87418,0.84602,0.85572,0.90551,0.51916,1.41169,0.72663,0.85955,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
31,1854.82,1.45476,0.77399,0.8687,0.84372,0.85036,0.90555,0.49944,1.44957,0.76286,0.85458,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
32,1914.23,1.44929,0.71531,0.86099,0.83687,0.87161,0.90766,0.52138,1.39883,0.73082,0.85902,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
33,1973.55,1.4147,0.71825,0.86197,0.84302,0.84945,0.91084,0.51719,1.42627,0.71411,0.8641,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
34,2032.95,1.41654,0.69826,0.85906,0.84527,0.84646,0.90771,0.53149,1.37718,0.74496,0.85293,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
35,2092.17,1.44161,0.70113,0.84656,0.84212,0.83309,0.90242,0.49608,1.47294,0.745,0.86606,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
36,2151.66,1.39223,0.67818,0.85889,0.85921,0.86836,0.92284,0.53932,1.36273,0.70076,0.84649,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
37,2211,1.36994,0.68396,0.85141,0.84979,0.86487,0.91506,0.54334,1.35174,0.69948,0.84772,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
38,2270.29,1.36837,0.70006,0.84933,0.86358,0.86102,0.92272,0.54522,1.33978,0.6917,0.84273,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
39,2329.73,1.36947,0.64966,0.84156,0.85875,0.87713,0.91882,0.52302,1.3685,0.69081,0.8441,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
40,2389.48,1.37584,0.6729,0.85209,0.86551,0.87293,0.92464,0.53504,1.3459,0.68533,0.84291,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556
41,2447.83,1.31322,0.64737,0.85947,0.85072,0.85615,0.91284,0.53378,1.35305,0.70148,0.84538,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
42,2505.97,1.29666,0.62549,0.84946,0.85463,0.87161,0.92192,0.54361,1.35097,0.67927,0.84444,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764
43,2564.29,1.28553,0.62193,0.84725,0.85943,0.89015,0.92759,0.548,1.33948,0.68682,0.83835,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
44,2622.93,1.28058,0.61228,0.84961,0.85267,0.88352,0.92618,0.55504,1.33062,0.67701,0.83861,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972
45,2681.15,1.26856,0.59391,0.83897,0.86071,0.88484,0.924,0.5362,1.35754,0.68194,0.841,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
46,2739.42,1.2476,0.60344,0.84504,0.86462,0.89676,0.92849,0.56231,1.30948,0.66225,0.84237,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
47,2797.74,1.24048,0.60769,0.83777,0.86223,0.89411,0.92934,0.56531,1.30073,0.65589,0.83755,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
48,2856.12,1.25358,0.61212,0.83914,0.86875,0.88926,0.92984,0.54818,1.33807,0.66163,0.83744,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388
49,2914.39,1.19687,0.57583,0.84206,0.86171,0.89903,0.9306,0.56045,1.30139,0.65182,0.83577,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
50,2972.44,1.23727,0.58869,0.83997,0.87619,0.87955,0.93044,0.56025,1.30043,0.64096,0.83465,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05
