                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5709,                 1.6396,                 1.4085,                0.78058,                0.69984,                0.75506,                0.43219,                 1.6508,                 1.4012,                 1.6983,               0.006733,               0.006733,               0.006733
                     36,                 1.6149,                 1.7317,                 1.4323,                0.79821,                0.72382,                0.78003,                0.45756,                 1.5675,                 1.2869,                 1.6376,               0.006634,               0.006634,               0.006634
                     37,                 1.5343,                 1.7202,                 1.3812,                0.80924,                0.73194,                 0.7921,                0.46479,                 1.6063,                 1.2656,                  1.685,               0.006535,               0.006535,               0.006535
                     38,                 1.5895,                 1.7417,                 1.4434,                0.78145,                0.72892,                0.77539,                0.45679,                 1.5705,                 1.2614,                 1.6721,               0.006436,               0.006436,               0.006436
                     39,                 1.5459,                  1.655,                 1.3912,                0.79758,                0.73194,                0.78736,                 0.4702,                 1.5795,                 1.2661,                 1.6715,               0.006337,               0.006337,               0.006337
                     40,                  1.546,                 1.6846,                 1.3968,                0.80794,                0.72249,                0.78585,                0.47192,                 1.5656,                 1.2386,                 1.6502,               0.006238,               0.006238,               0.006238
                     41,                 1.5273,                 1.6457,                 1.3796,                0.80446,                0.71978,                0.79002,                0.47335,                 1.5445,                 1.2217,                 1.6373,               0.006139,               0.006139,               0.006139
                     42,                 1.5555,                 1.6535,                 1.3855,                0.81459,                0.70144,                0.77843,                0.45866,                 1.5742,                 1.2547,                 1.6725,                0.00604,                0.00604,                0.00604
                     43,                 1.5636,                 1.6401,                 1.4076,                0.81367,                0.69502,                0.77674,                0.46182,                 1.5505,                 1.2453,                 1.6535,               0.005941,               0.005941,               0.005941
                     44,                 1.5565,                 1.6201,                 1.3892,                0.81943,                0.71108,                0.78856,                 0.4712,                   1.57,                 1.2688,                 1.6506,               0.005842,               0.005842,               0.005842
                     45,                 1.5407,                  1.577,                 1.3934,                0.81023,                0.70465,                0.78862,                0.46197,                 1.5651,                 1.2643,                 1.6574,               0.005743,               0.005743,               0.005743
                     46,                 1.5286,                 1.5608,                 1.3818,                0.77752,                0.73487,                0.78947,                0.46928,                 1.5854,                 1.1941,                 1.6775,               0.005644,               0.005644,               0.005644
                     47,                 1.5362,                 1.6043,                 1.3773,                0.85025,                0.70144,                0.79543,                0.48418,                 1.5611,                   1.21,                 1.6639,               0.005545,               0.005545,               0.005545
                     48,                 1.5192,                 1.5594,                 1.3804,                0.82224,                0.69984,                0.79231,                0.47938,                 1.5767,                 1.2297,                 1.6715,               0.005446,               0.005446,               0.005446
                     49,                 1.5566,                 1.6072,                 1.3813,                0.83566,                0.70626,                0.79448,                0.48474,                 1.5601,                 1.2419,                 1.6533,               0.005347,               0.005347,               0.005347
                     50,                 1.5098,                 1.5561,                 1.3698,                0.77721,                0.73356,                  0.793,                0.47527,                 1.5783,                 1.2226,                 1.6586,               0.005248,               0.005248,               0.005248
                     51,                 1.5382,                 1.5838,                 1.3857,                0.82672,                0.70626,                0.79466,                0.48241,                 1.5801,                 1.2115,                 1.6869,               0.005149,               0.005149,               0.005149
                     52,                 1.5079,                 1.5475,                 1.3553,                0.79753,                0.70812,                0.79974,                0.47825,                 1.5959,                  1.203,                 1.6858,                0.00505,                0.00505,                0.00505
                     53,                 1.5319,                  1.552,                 1.3649,                0.81379,                0.70305,                0.79831,                0.48045,                 1.5878,                 1.2094,                 1.6682,               0.004951,               0.004951,               0.004951
                     54,                 1.4717,                 1.4538,                 1.3256,                0.78417,                 0.7465,                0.80717,                0.48579,                 1.5968,                 1.1859,                 1.6961,               0.004852,               0.004852,               0.004852
