                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3393,                 6.7445,                 0.9086,                0.00634,                0.62895,                0.01607,                0.00546,                 2.0904,                 7.2519,                 0.8824,             0.00055814,             0.00055814,             0.00055814
                      2,                 2.2073,                 4.1293,                0.87631,                0.47686,                0.31387,                0.33877,                0.13341,                 2.1865,                 3.8749,                0.94954,                0.00112,                0.00112,                0.00112
                      3,                 2.2616,                  3.605,                0.88037,                0.29801,                0.24574,                0.17028,                0.04883,                 2.6424,                 3.8735,                 1.0259,              0.0016763,              0.0016763,              0.0016763
                      4,                 2.2406,                 3.0124,                 0.8879,                0.44465,                0.42457,                0.33756,                0.10525,                 2.2717,                 4.1649,                0.93083,              0.0019703,              0.0019703,              0.0019703
                      5,                 2.2059,                 2.6291,                0.86884,                0.53061,                0.49878,                0.48311,                0.20061,                 2.1184,                  2.397,                0.91432,              0.0019703,              0.0019703,              0.0019703
                      6,                 2.1056,                 2.2887,                0.86963,                0.52511,                0.55353,                0.50631,                0.21954,                 2.0751,                 2.2013,                0.90865,              0.0019604,              0.0019604,              0.0019604
                      7,                 2.0858,                 2.1806,                0.86913,                0.60618,                0.58029,                0.60317,                0.26923,                 1.9798,                 2.0205,                0.90888,              0.0019505,              0.0019505,              0.0019505
                      8,                 2.0404,                 2.0985,                0.86485,                0.46482,                0.47932,                0.40135,                0.15271,                 2.2382,                 2.3692,                0.91461,              0.0019406,              0.0019406,              0.0019406
                      9,                 2.1178,                 2.0374,                0.88095,                0.64394,                0.53893,                0.57723,                0.24526,                 2.0667,                 1.9891,                0.90494,              0.0019308,              0.0019308,              0.0019308
                     10,                 2.0821,                 2.0206,                0.89038,                0.61938,                0.61557,                0.60913,                0.26912,                 1.9761,                 1.8177,                0.88703,              0.0019209,              0.0019209,              0.0019209
                     11,                 2.0371,                 1.9737,                0.82475,                0.58369,                0.58516,                0.56466,                0.23213,                 2.0986,                 2.0294,                0.90831,               0.001911,               0.001911,               0.001911
                     12,                 2.0469,                 2.0267,                0.83229,                0.59618,                0.54241,                0.54321,                0.23729,                  2.086,                  1.924,                0.89547,              0.0019011,              0.0019011,              0.0019011
                     13,                  1.963,                 1.8957,                0.85021,                0.62612,                0.61527,                0.62219,                0.27276,                 2.0286,                  1.879,                0.88323,              0.0018912,              0.0018912,              0.0018912
                     14,                 2.0093,                 1.9745,                0.86203,                0.59163,                0.66093,                0.59162,                0.25662,                 1.8937,                 2.1267,                0.87001,              0.0018813,              0.0018813,              0.0018813
                     15,                 1.9676,                 1.9508,                0.84899,                 0.5939,                0.56326,                0.53468,                0.22052,                 2.1083,                 1.9947,                0.89063,              0.0018714,              0.0018714,              0.0018714
                     16,                 1.9658,                 1.8894,                 0.8524,                0.63885,                0.61071,                0.62361,                0.26687,                 2.0397,                 1.8592,                0.87575,              0.0018615,              0.0018615,              0.0018615
