                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8303,                 12.986,                 1.3787,                0.53423,                0.37881,                0.40633,                 0.2143,                 1.9313,                 3.4063,                 1.8309,              0.0033281,              0.0033281,              0.0033281
                      2,                 1.8141,                 3.4138,                 1.4455,                0.45064,                0.38042,                0.32194,                0.12952,                 2.0556,                 3.6887,                 1.9343,              0.0065955,              0.0065955,              0.0065955
                      3,                 2.0294,                   3.24,                 1.6533,                0.43335,                 0.2762,                0.29783,                0.13403,                 2.1308,                 3.2761,                 2.0253,              0.0097969,              0.0097969,              0.0097969
                      4,                 2.2345,                 3.3178,                 1.8657,                0.49753,                0.38523,                0.37151,                0.17597,                 2.1337,                 2.9029,                 2.0515,               0.009703,               0.009703,               0.009703
                      5,                 2.1541,                 3.0624,                 1.7982,                0.53915,                0.33613,                0.34767,                0.17544,                 2.2507,                 3.2603,                   2.12,               0.009703,               0.009703,               0.009703
                      6,                  2.053,                 2.8434,                 1.6898,                0.56218,                0.48641,                0.48199,                0.24013,                 1.9314,                 2.3257,                 1.9631,               0.009604,               0.009604,               0.009604
                      7,                 1.9964,                 2.6098,                 1.6976,                0.63623,                0.52167,                0.53597,                0.27762,                 1.8832,                 3.0378,                 1.8446,               0.009505,               0.009505,               0.009505
                      8,                 1.9029,                 2.6177,                  1.601,                 0.5249,                 0.5297,                0.47135,                0.23168,                 1.9221,                 2.0838,                 1.9372,               0.009406,               0.009406,               0.009406
                      9,                 1.9105,                 2.3777,                 1.6053,                0.64059,                0.56982,                0.55558,                0.27817,                 1.8742,                  1.962,                 1.8538,               0.009307,               0.009307,               0.009307
                     10,                 1.8554,                 2.3211,                 1.5462,                0.67794,                0.58792,                0.64555,                0.34029,                 1.7559,                 2.0023,                 1.7492,               0.009208,               0.009208,               0.009208
                     11,                  1.862,                 2.3238,                 1.5567,                0.68717,                0.55377,                0.60595,                0.30877,                 1.8856,                 1.9316,                 1.8574,               0.009109,               0.009109,               0.009109
                     12,                 1.7774,                 2.2637,                  1.526,                0.68924,                0.59711,                0.58618,                0.28991,                 1.8385,                 1.7159,                  1.808,                0.00901,                0.00901,                0.00901
                     13,                  1.781,                 2.2287,                 1.5192,                0.71484,                0.54896,                 0.6213,                0.32839,                 1.6864,                 1.8435,                 1.6916,               0.008911,               0.008911,               0.008911
                     14,                 1.7994,                 2.1346,                 1.5389,                0.64346,                0.58427,                0.61142,                0.31492,                 1.7475,                 1.8035,                 1.7581,               0.008812,               0.008812,               0.008812
                     15,                 1.7293,                 2.0749,                 1.4951,                0.77063,                0.60353,                0.68905,                0.39218,                 1.7228,                 1.6418,                 1.7242,               0.008713,               0.008713,               0.008713
                     16,                 1.7616,                 2.0698,                 1.5022,                0.77407,                0.64894,                0.70953,                0.39238,                 1.6654,                 1.5442,                 1.7012,               0.008614,               0.008614,               0.008614
                     17,                 1.6994,                 2.0029,                 1.4543,                0.64857,                0.64579,                0.61545,                0.31949,                 1.6664,                 1.7081,                 1.6973,               0.008515,               0.008515,               0.008515
                     18,                 1.7177,                 1.9919,                 1.4721,                0.71458,                0.66307,                0.69568,                 0.3842,                 1.7263,                 1.5598,                 1.7394,               0.008416,               0.008416,               0.008416
                     19,                 1.6691,                  1.951,                 1.4891,                0.69616,                0.63082,                0.67817,                0.38453,                 1.6563,                 1.5594,                  1.689,               0.008317,               0.008317,               0.008317
                     20,                 1.7076,                 2.0509,                 1.4662,                 0.7812,                0.60032,                0.69652,                0.39228,                 1.6238,                 1.5626,                  1.672,               0.008218,               0.008218,               0.008218
                     21,                 1.6564,                 1.8873,                 1.4298,                0.76726,                0.61958,                0.69068,                0.39567,                 1.6401,                 1.6796,                 1.6558,               0.008119,               0.008119,               0.008119
                     22,                 1.6837,                 1.9701,                 1.4731,                0.74791,                0.63812,                  0.697,                0.38893,                  1.635,                 1.5452,                 1.6557,                0.00802,                0.00802,                0.00802
                     23,                 1.6156,                 1.8362,                 1.4143,                0.72067,                0.62761,                0.70162,                0.39575,                 1.6624,                 1.5873,                 1.7017,               0.007921,               0.007921,               0.007921
                     24,                 1.6538,                 1.8346,                 1.4477,                0.74842,                0.65971,                0.73002,                0.42344,                 1.7004,                  1.461,                  1.713,               0.007822,               0.007822,               0.007822
                     25,                 1.6335,                  1.785,                 1.4195,                0.78005,                0.68881,                0.76151,                 0.4347,                 1.6188,                 1.4103,                 1.6309,               0.007723,               0.007723,               0.007723
                     26,                 1.6528,                 1.8712,                 1.4347,                0.75388,                  0.649,                0.73519,                0.43307,                 1.6017,                   1.55,                 1.6253,               0.007624,               0.007624,               0.007624
                     27,                 1.6353,                 1.7619,                 1.4559,                0.77202,                0.67401,                0.73555,                0.41312,                 1.6284,                  1.479,                 1.6634,               0.007525,               0.007525,               0.007525
                     28,                 1.5617,                  1.715,                 1.3825,                 0.7391,                0.69572,                0.73041,                0.41157,                 1.6773,                 1.4176,                 1.6809,               0.007426,               0.007426,               0.007426
                     29,                 1.6142,                 1.7758,                 1.3951,                0.76163,                0.68379,                0.75556,                0.44877,                 1.6258,                 1.3444,                 1.6199,               0.007327,               0.007327,               0.007327
                     30,                 1.6239,                 1.8014,                 1.3907,                 0.7574,                0.68153,                0.75517,                0.43555,                 1.6258,                 1.3609,                 1.6396,               0.007228,               0.007228,               0.007228
                     31,                 1.6134,                 1.7644,                 1.4168,                0.80068,                 0.6565,                0.75614,                0.43589,                 1.6351,                 1.3709,                 1.6734,               0.007129,               0.007129,               0.007129
                     32,                 1.6192,                  1.799,                 1.4082,                0.78259,                0.69502,                0.76213,                0.43856,                 1.6785,                 1.4026,                 1.6913,                0.00703,                0.00703,                0.00703
                     33,                 1.5925,                 1.7508,                 1.4068,                0.81508,                0.72392,                0.78021,                0.46257,                 1.6479,                 1.3461,                 1.6906,               0.006931,               0.006931,               0.006931
                     34,                 1.5881,                 1.7234,                 1.4081,                0.78547,                0.67095,                0.75434,                0.42673,                 1.6126,                 1.4727,                 1.6559,               0.006832,               0.006832,               0.006832
                     35,                 1.5849,                 1.7433,                 1.3908,                0.77433,                0.70626,                0.78045,                0.46553,                 1.6109,                 1.3231,                  1.624,               0.006733,               0.006733,               0.006733
                     36,                 1.5712,                 1.7014,                  1.388,                0.76386,                0.69984,                0.75915,                 0.4524,                 1.6169,                 1.3191,                 1.6481,               0.006634,               0.006634,               0.006634
                     37,                 1.5715,                 1.7216,                 1.3631,                0.82288,                0.69342,                0.78205,                0.46551,                 1.6261,                 1.3131,                 1.6502,               0.006535,               0.006535,               0.006535
                     38,                 1.6036,                 1.6958,                 1.4101,                0.77467,                0.70305,                0.77833,                0.46497,                 1.6091,                 1.3023,                 1.6394,               0.006436,               0.006436,               0.006436
                     39,                 1.5641,                  1.663,                 1.4021,                0.77765,                0.71429,                0.78155,                 0.4639,                 1.6338,                 1.2964,                 1.6807,               0.006337,               0.006337,               0.006337
                     40,                 1.5641,                 1.7104,                 1.3758,                0.77995,                0.71116,                0.76383,                0.45909,                 1.6208,                 1.3665,                 1.6365,               0.006238,               0.006238,               0.006238
                     41,                 1.5579,                 1.6171,                  1.379,                0.79413,                0.69823,                0.77853,                0.46052,                 1.6007,                 1.2874,                 1.6333,               0.006139,               0.006139,               0.006139
                     42,                 1.5293,                 1.6484,                 1.3442,                0.80047,                0.71268,                0.78597,                0.46061,                 1.6008,                 1.2673,                 1.6414,                0.00604,                0.00604,                0.00604
                     43,                 1.5144,                  1.602,                 1.3516,                0.79378,                0.71054,                0.79013,                 0.4704,                 1.5967,                 1.2186,                 1.6476,               0.005941,               0.005941,               0.005941
