                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.6278,                 1.1511,                 1.0289,                0.73324,                0.68735,                0.73179,                  0.373,                 1.7201,                 1.2243,                 1.1373,              0.0018416,              0.0018416,              0.0018416
                     35,                 1.6188,                 1.0961,                0.99688,                0.71557,                 0.7129,                0.74754,                0.39076,                 1.7274,                 1.1225,                 1.1382,              0.0018367,              0.0018367,              0.0018367
                     36,                 1.6365,                 1.0866,                 1.0397,                0.75564,                0.70195,                0.75845,                0.39396,                 1.7497,                 1.1198,                 1.1685,              0.0018317,              0.0018317,              0.0018317
                     37,                 1.6218,                 1.0692,                 1.0236,                0.69263,                0.68978,                0.71573,                0.36739,                 1.7935,                 1.1412,                  1.177,              0.0018267,              0.0018267,              0.0018267
                     38,                 1.6564,                 1.1094,                 1.0334,                 0.7452,                0.70681,                0.74472,                0.38092,                 1.7524,                 1.1517,                 1.1509,              0.0018218,              0.0018218,              0.0018218
                     39,                  1.628,                 1.1062,                 0.9798,                0.69884,                0.68316,                0.71406,                0.37231,                 1.7032,                 1.2556,                  1.125,              0.0018168,              0.0018168,              0.0018168
                     40,                 1.6121,                 1.0909,                 1.0247,                0.67307,                0.61922,                0.63327,                0.32636,                 1.7506,                 1.6671,                 1.1516,              0.0018119,              0.0018119,              0.0018119
                     41,                 1.6008,                 1.0711,                  1.018,                0.75283,                 0.6929,                0.76102,                0.39352,                 1.7399,                 1.0968,                 1.1421,              0.0018069,              0.0018069,              0.0018069
                     42,                 1.6399,                 1.0924,                 1.0389,                0.73024,                0.72451,                0.75704,                   0.38,                 1.7389,                 1.1056,                 1.1357,               0.001802,               0.001802,               0.001802
                     43,                 1.5889,                 1.0253,                 1.0194,                0.73625,                0.71995,                0.74986,                0.38792,                 1.7537,                 1.1436,                 1.1577,              0.0017971,              0.0017971,              0.0017971
                     44,                 1.6478,                  1.065,                 1.0107,                0.69814,                0.64151,                0.65613,                0.29882,                 1.9017,                 1.4482,                 1.1873,              0.0017921,              0.0017921,              0.0017921
                     45,                 1.6193,                 1.0423,                  1.019,                0.73378,                0.71088,                0.75743,                0.38314,                 1.7586,                 1.1603,                 1.1369,              0.0017872,              0.0017872,              0.0017872
                     46,                 1.5907,                 1.0061,                0.99535,                0.71519,                0.72141,                0.75535,                0.40238,                 1.6904,                 1.0953,                 1.1434,              0.0017822,              0.0017822,              0.0017822
                     47,                 1.5931,                 1.0373,                 1.0039,                0.72917,                0.70419,                0.74825,                0.38234,                 1.7506,                 1.1642,                 1.1723,              0.0017772,              0.0017772,              0.0017772
                     48,                  1.594,                 1.0207,                 1.0041,                0.76323,                0.74509,                0.78662,                0.41992,                 1.6988,                 1.0971,                 1.1491,              0.0017723,              0.0017723,              0.0017723
                     49,                 1.6221,                 1.1006,                 1.0048,                0.75789,                0.72993,                0.78561,                0.40755,                  1.715,                 1.1009,                 1.1257,              0.0017674,              0.0017674,              0.0017674
                     50,                 1.5877,                  1.065,                 1.0073,                0.73636,                0.72034,                0.75155,                0.38883,                  1.726,                 1.1316,                   1.14,              0.0017624,              0.0017624,              0.0017624
                     51,                 1.5953,                 1.0171,                  1.017,                0.71677,                0.74813,                0.75746,                0.40264,                  1.666,                 1.0909,                 1.1273,              0.0017575,              0.0017575,              0.0017575
                     52,                 1.6114,                 1.0311,                 1.0125,                0.76586,                0.73358,                0.78459,                0.41991,                 1.6468,                 1.0812,                 1.1344,              0.0017525,              0.0017525,              0.0017525
                     53,                 1.5825,                 1.0138,                 1.0179,                0.74599,                0.73723,                0.78429,                0.41407,                 1.6791,                 1.0256,                 1.1353,              0.0017476,              0.0017476,              0.0017476
                     54,                 1.5978,                 1.0394,                 1.0122,                0.75794,                0.70925,                0.77002,                0.40983,                 1.6722,                   1.08,                 1.1251,              0.0017426,              0.0017426,              0.0017426
                     55,                 1.5703,                 1.0122,                 1.0067,                0.73717,                0.71411,                0.75238,                 0.3825,                 1.7647,                 1.1357,                 1.1626,              0.0017376,              0.0017376,              0.0017376
                     56,                 1.5925,                 1.0142,                0.99042,                0.71691,                0.74939,                0.76418,                0.40398,                 1.7061,                 1.0662,                 1.1366,              0.0017327,              0.0017327,              0.0017327
                     57,                 1.5588,                  1.031,                 1.0145,                0.73891,                0.71615,                 0.7653,                 0.4034,                  1.677,                 1.1097,                 1.1244,              0.0017278,              0.0017278,              0.0017278
                     58,                  1.555,                 1.0162,                 1.0088,                0.73352,                0.70073,                0.75338,                0.40464,                 1.6411,                 1.0997,                 1.1323,              0.0017228,              0.0017228,              0.0017228
                     59,                 1.5622,                  1.038,                 0.9999,                0.73505,                0.72902,                0.77646,                0.41997,                 1.6691,                 1.1431,                 1.1193,              0.0017179,              0.0017179,              0.0017179
                     60,                 1.5719,                  1.029,                 1.0129,                0.75913,                0.73236,                0.78119,                0.42369,                 1.6523,                 1.0948,                 1.1056,              0.0017129,              0.0017129,              0.0017129
                     61,                 1.5797,                 1.0513,                0.98854,                0.76152,                0.75426,                0.78494,                0.41211,                 1.6872,                 1.0765,                   1.11,               0.001708,               0.001708,               0.001708
                     62,                 1.6203,                 1.0436,                 1.0128,                0.73054,                0.70803,                 0.7593,                0.41456,                  1.698,                 1.1581,                 1.1459,               0.001703,               0.001703,               0.001703
                     63,                 1.5729,                 1.0286,                  1.008,                0.76398,                0.73358,                0.78027,                0.41564,                 1.6269,                 1.0918,                 1.0948,               0.001698,               0.001698,               0.001698
                     64,                 1.5544,                 1.0142,                0.98528,                0.72924,                0.71533,                0.75674,                0.38993,                   1.72,                 1.1102,                 1.1451,              0.0016931,              0.0016931,              0.0016931
                     65,                 1.5756,                 1.0139,                 1.0144,                0.72449,                0.72263,                0.77048,                0.41427,                 1.6824,                 1.0719,                 1.1711,              0.0016882,              0.0016882,              0.0016882
                     66,                 1.5883,                0.99098,                  1.003,                 0.7053,                0.70681,                0.73684,                 0.3701,                 1.7766,                 1.1558,                 1.1896,              0.0016832,              0.0016832,              0.0016832
                     67,                 1.5464,                 1.0067,                0.99153,                0.73842,                0.72749,                0.75482,                0.38782,                 1.7088,                 1.1185,                 1.1638,              0.0016783,              0.0016783,              0.0016783
                     68,                   1.55,                0.98999,                0.99736,                0.73893,                0.72019,                0.75055,                0.39397,                 1.7146,                 1.1158,                  1.165,              0.0016733,              0.0016733,              0.0016733
                     69,                 1.5711,                 1.0097,                 1.0087,                0.69773,                0.71168,                0.72955,                0.37296,                 1.7494,                 1.2391,                 1.1804,              0.0016684,              0.0016684,              0.0016684
                     70,                   1.55,                 0.9814,                0.99197,                0.73019,                0.75304,                0.77204,                0.40986,                 1.6721,                  1.102,                 1.1288,              0.0016634,              0.0016634,              0.0016634
                     71,                 1.5251,                0.98221,                 1.0068,                0.74869,                0.70438,                0.76815,                0.40935,                 1.6905,                 1.0985,                 1.1411,              0.0016585,              0.0016585,              0.0016585
